['BR', 'BR', 'BR', 'BR', 'BR', 'BR', '--', 'BR', 'BR', '--', '--', '--', '--', 'E1', 'SP', 'E1', '--', '--', '--', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'ST', 'ST']
['BR', '--', '--', '--', 'ST', 'ST', 'BR', '--', 'BR', 'BR', 'ST', '--', 'FO', 'FO', 'WA', 'WA', 'WA', 'FO', 'FO', '--', 'ST', 'BR', 'BR', '--', 'BR', '--', '--', 'BR', '--', 'BR']
['BR', '--', 'BR', '--', 'ST', 'LG', 'BR', '--', 'BR', 'FO', 'ST', '--', 'SE', 'FO', 'FO', 'FO', 'FO', 'FO', 'NE', '--', 'ST', 'FO', 'BR', '--', 'BR', 'BR', '--', 'BR', 'BR', 'BR']
['BR', '--', 'BR', '--', 'BR', '--', 'BR', '--', 'BR', 'FO', 'ST', 'GR', 'GR', 'GR', 'GR', 'GR', 'GR', 'GR', 'GR', 'GR', 'ST', 'FO', 'BR', '--', '--', '--', 'GR', 'GR', 'GR', '--']
['BR', 'GR', 'BR', '--', 'BR', '--', 'BR', '--', 'BR', 'FO', 'ST', 'ST', 'ST', 'ST', 'ST', 'ST', 'ST', 'ST', 'ST', 'ST', 'ST', 'FO', 'BR', '--', 'BR', '--', 'BR', 'FO', 'BR', '--']
['BR', 'BR', 'BR', '--', 'BR', '--', 'BR', '--', 'BR', 'FO', 'FO', 'FO', 'FO', 'FO', 'FO', 'FO', 'FO', 'FO', 'FO', 'FO', 'FO', 'FO', 'BR', '--', 'BR', '--', 'BR', 'FO', 'BR', '--']
['BR', 'BR', '--', '--', 'BR', '--', 'BR', '--', 'BR', 'FO', 'FO', 'TR', 'TR', 'TR', 'TR', 'TR', 'TR', 'TR', 'TR', 'TR', 'FO', 'FO', 'BR', '--', 'BR', '--', 'BR', 'FO', 'BR', '--']
['BR', '--', '--', 'BR', 'BR', '--', 'BR', 'ST', 'ST', 'FO', 'FO', '--', '--', '--', '--', '--', '--', '--', '--', '--', 'FO', 'FO', 'BR', '--', 'BR', 'BR', 'BR', 'DO', 'BR', 'BR']
['BR', '--', 'BR', 'BR', '--', '--', '--', '--', '--', '--', '--', '--', 'NE', '--', '--', 'E1', '--', '--', '--', 'SE', '--', '--', '--', '--', '--', 'BR', '--', '--', '--', 'BR']
['BR', 'DO', 'BR', '--', '--', 'BR', 'BR', '--', 'BR', 'ST', '--', '--', '--', '--', '--', '--', '--', '--', 'E1', '--', '--', '--', 'ST', 'BR', '--', 'BR', '--', 'HO', '--', 'BR']
['FO', '--', 'FO', '--', 'BR', 'BR', '--', '--', 'ST', 'ST', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'ST', 'BR', 'GR', 'BR', '--', 'PO', '--', 'BR']
['FO', 'PL', 'FO', 'FO', 'BR', 'BR', 'BR', 'ST', 'BR', 'ST', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'ST', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'ST']
